[15Jan.2026 07:51:23.567] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.568] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.569] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.570] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.573] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.611] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.611] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.612] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.613] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.613] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.616] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.660] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.660] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.662] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.662] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.663] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.666] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.704] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.704] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.705] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.706] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.706] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.709] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.710] [Server thread/INFO] [com.simibubi.create.Create/]: [TRAIN-DEBUG] Train e379310a (Unnamed Train) currentStation UUID cleared
[15Jan.2026 07:51:23.710] [Server thread/INFO] [com.simibubi.create.Create/]: [TRAIN-DEBUG] Train bbc4d658 (Unnamed Train) currentStation UUID cleared
[15Jan.2026 07:51:23.756] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.756] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.757] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Loader 2c' (ID: 9707c882): imminent=4471ce2f, trainCurrentStation=9707c882 (Loader 2c), match=true, trainPresent=true
[15Jan.2026 07:51:23.758] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Test_Loader' (ID: ff0dbaec): imminent=c1139545, trainCurrentStation=ff0dbaec (Test_Loader), match=true, trainPresent=true
[15Jan.2026 07:51:23.759] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 32d0af9e): imminent=644421a5, trainCurrentStation=32d0af9e (Track Station), match=true, trainPresent=true
[15Jan.2026 07:51:23.762] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '1' (ID: b5f5c57f): imminent=3720ca0c, trainCurrentStation=b5f5c57f (1), match=true, trainPresent=true
[15Jan.2026 07:51:23.817] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station '2' (ID: 5613bafb): imminent=e4e2b278, trainCurrentStation=5613bafb (2), match=true, trainPresent=true
[15Jan.2026 07:51:23.817] [Server thread/INFO] [com.simibubi.create.Create/]: [STATION-BE-DEBUG] Station 'Track Station' (ID: 1948e9cd): imminent=7702400c, trainCurrentStation=1948e9cd (Track Station), match=true, trainPresent=true
